feature,mu_gain,pi_gain,total_gain
X1049,608.8309765338897,31419.820417237188,32028.651393771077
X561,161.53717937469483,21994.502270317822,22156.03944969252
X727,524.905069565773,12610.333127079904,13135.238196645678
X592,714.4986919403076,11087.577828812598,11802.076520752906
X1066,846.5680418014526,9297.686550152303,10144.254591953755
X1085,292.3842921257019,7164.453961313889,7456.8382534395905
X1068,478.57957763671874,6357.5027406439185,6836.082318280637
X595,71.23561611175538,6700.767784023285,6772.00340013504
X1071,526.0327266693115,5871.246819248423,6397.279545917734
X1060,684.5314148426056,5063.030621258915,5747.562036101521
X1070,783.2154543876647,4554.579029363394,5337.794483751059
X1063,360.33068523406985,4437.112127104774,4797.442812338844
X1064,927.5409989833831,3721.3168672174215,4648.857866200805
X583,99.2153356552124,4283.563999152184,4382.7793348073965
X582,52.159985637664796,3274.344668340683,3326.5046539783475
X587,134.34390802383422,3062.6597941637037,3197.003702187538
X588,207.97712817192078,2982.893595471978,3190.870723643899
X1083,157.77361767292024,2282.8431334137917,2440.616751086712
X726,697.5593109607696,1159.2706092476844,1856.829920208454
X1003,540.2128950595855,1250.066774737835,1790.2796697974204
X581,72.6010500907898,1552.0484099194407,1624.6494600102305
X1001,482.5622008681297,897.8875339925289,1380.4497348606587
X881,70.25298137664795,1276.750885155052,1347.0038665317
X995,329.1678030252457,942.1630723714828,1271.3308753967285
X590,205.62341470718383,936.5990303993225,1142.2224451065063
X584,61.765120124816896,1073.898861527443,1135.6639816522597
X723,407.47099475860597,719.8272607952356,1127.2982555538415
X999,296.9136483192444,828.3410889863968,1125.2547373056411
X744,73.44415788650512,1017.9869722098113,1091.4311300963163
X738,97.7109896183014,958.2545243918896,1055.965514010191
X594,330.4333671569824,682.1059330135583,1012.5393001705407
X689,190.28696088790895,771.7308686971664,962.0178295850753
X255,82.96698141098022,877.3498378068209,960.3168192178011
X718,609.5582804203034,342.4809311121702,952.0392115324736
X1059,134.41118631362914,815.7707630030811,950.1819493167103
X844,61.22919204235077,863.9512922286988,925.1804842710495
X732,571.532541847229,275.4000838279724,846.9326256752015
X557,230.82246160507202,600.0783427819609,830.900804387033
X768,527.3439213037491,294.01558892168106,821.3595102254301
X722,289.87139501571653,515.9360258430243,805.8074208587408
X1002,359.1304455041885,407.0108356565237,766.1412811607122
X418,10.646319961547851,722.3173395633697,732.9636595249176
X586,249.60616602897645,470.0141873002052,719.6203533291816
X1029,396.6913405418396,285.7518000602722,682.4431406021118
X580,150.02949151992797,507.4761949419975,657.5056864619255
X1076,160.9731060028076,452.3804321527481,613.3535381555557
X719,305.6109673500061,255.89145914912223,561.5024264991283
X578,139.7030059337616,387.2366737246513,526.939679658413
X355,96.43978538513184,394.79696829319,491.23675367832186
X574,160.45425815582274,329.7761746644974,490.2304328203201
X1006,128.8956256866455,358.31312064528464,487.2087463319301
X1031,326.3352945327759,139.75234088152646,466.0876354143023
X1007,213.74354724884034,250.48803559541702,464.23158284425733
X589,205.28538103103637,258.35407388210297,463.63945491313933
X998,293.05272101163865,168.07407314404844,461.1267941556871
X1073,147.76630516052245,286.62818695306777,434.3944921135902
X661,155.58213200569153,278.64052399098875,434.22265599668026
X1014,242.26885557174683,182.66725556254386,424.9361111342907
X831,331.25577597618104,91.04975574016571,422.30553171634676
X305,67.18315563201904,353.89457325339316,421.07772888541217
X1075,186.7621497154236,233.92233140468596,420.6844811201096
X1016,198.55098023414612,199.36394400596618,397.9149242401123
X1004,217.571693611145,174.00669093132018,391.5783845424652
X1058,113.16828117370605,277.64961050748826,390.8178916811943
X649,72.44567203521729,317.76844840049745,390.21412043571473
X828,216.76217288970946,171.58673202097415,388.3489049106836
X1032,270.92638329267504,102.18173521757126,373.1081185102463
X577,69.70448808670044,297.0825218081474,366.78700989484787
X550,155.44276933670045,210.79804215431213,366.24081149101255
X571,77.31563391685486,282.8126215927303,360.1282555095852
X85,185.84817819595338,174.25944714695214,360.1076253429055
X837,157.64153118133544,199.83469041585923,357.4762215971947
X243,252.24877784252166,96.46733241416514,348.7161102566868
X875,159.6550567150116,187.79637511968613,347.4514318346977
X400,106.80578775405884,237.09395763874053,343.8997453927994
X562,184.96048731803893,147.9387839552015,332.8992712732404
X713,162.97545671463013,166.6659685086459,329.64142522327603
X572,208.57405076026916,119.78039637207985,328.35444713234904
X240,108.9070855140686,215.1203499853611,324.02743549942966
X731,181.92958610057832,141.70390739142894,323.63349349200723
X721,94.11566433906555,210.35886172056198,304.4745260596275
X773,154.20068140029906,145.39739623069764,299.5980776309967
X868,55.48648204803467,243.38049082756044,298.8669728755951
X754,47.56908822059631,244.3950765788555,291.96416479945185
X660,159.05897431373597,131.78661918342112,290.8455934971571
X1030,185.13078956604005,104.31681639477611,289.4476059608162
X573,167.3983738899231,118.23153338432311,285.6299072742462
X576,87.68744640350342,197.2933886051178,284.9808350086212
X314,73.96912951469422,206.02535123825072,279.9944807529449
X833,167.82504119873047,110.91428948640824,278.7393306851387
X29,110.77306563854218,163.69011351168155,274.4631791502237
X202,180.63792233467103,91.49657850265503,272.1345008373261
X294,72.00528583526611,197.75907335281372,269.7643591880798
X734,192.62284202575682,74.99040205478668,267.6132440805435
X1033,130.31536860466002,133.6397186845541,263.95508728921413
X1008,130.75035095214844,125.90789129137993,256.6582422435284
X549,77.95943765640259,178.4427948862314,256.402232542634
X735,54.25857844352722,200.75187363624573,255.01045207977296
X878,87.14751982688904,165.6632321000099,252.81075192689894
X854,191.65863184928895,59.83238949775696,251.49102134704592
X485,180.99387035369872,69.51943852258846,250.51330887628717
X293,108.3489264011383,140.72940847873687,249.07833487987517
X870,116.41482810974121,132.5985981941223,249.01342630386353
X601,136.18329241275788,110.7250626385212,246.90835505127907
X1018,147.21697959899902,96.78617683872581,244.00315643772484
X769,78.63969240188598,163.10668280124665,241.74637520313263
