feature,psi
X948,0.006076136423596771
X594,0.004404933723644207
X1014,0.003443254563638742
X1042,0.003167638386460023
X873,0.0031489748961937548
X727,0.003085495654786453
X910,0.0030288912392736063
X881,0.003025447576365239
X726,0.0030058582966333925
X810,0.0030035841107373777
X587,0.0029991143648300453
X1077,0.0029794771656018555
X408,0.0029107930028522866
X928,0.002857636991103411
X804,0.002831040374540511
X292,0.002815868684198632
X577,0.00281105081785245
X734,0.002760250024895907
X1005,0.0027495160317103614
X754,0.002746402632794357
X880,0.0027178400859171887
X308,0.0026821521919972806
X868,0.002679976107023009
X75,0.0026640118484321886
X319,0.0026627783214402496
X409,0.002649771413422727
X805,0.0026201788583197216
X318,0.002606588100891326
X830,0.0025745073790756716
X998,0.002564806841040359
X865,0.002532950305052284
X346,0.0024572663668993
X485,0.00242736446774321
X803,0.002425873665148199
X814,0.0023856506222190306
X891,0.002384388358695971
X483,0.002370946016629971
X557,0.0023644437356726247
X1017,0.0023560887301257026
X1075,0.002342212046176284
X67,0.0023339523588012208
X995,0.0023236891316727004
X573,0.0023179667072077046
X466,0.0023048006714517094
X550,0.002301994542725256
X825,0.002301383668411354
X799,0.002264359560202617
X802,0.0022639731780576813
X649,0.0022465123054823707
X932,0.002234138041545496
X177,0.002225062163542823
X761,0.002215390461639289
X20,0.0021929137485394833
X798,0.002190257826209309
X723,0.002188012795060664
X361,0.0021823315631509517
X27,0.0021749326265669672
X773,0.002161965448099343
X738,0.0021585727043098484
X41,0.002144288759236612
X973,0.002137128910985417
X808,0.0021271993956204754
X62,0.002090217299032491
X74,0.002087350431657101
X837,0.002076787824354677
X909,0.0020742748404134906
X243,0.0020693837846378627
X77,0.00206900376300393
X1066,0.0020457641579155763
X824,0.002040707330808997
X187,0.0020404061854003377
X719,0.0020373668553260523
X690,0.0020358342650555563
X14,0.0020322275104556428
X1029,0.002018526189252213
X905,0.0020182554084591533
X588,0.002012090843375236
X632,0.0020005629380635496
X314,0.0019775054237961835
X411,0.0019588564432752647
X275,0.0019575497511559233
X197,0.0019574182699875382
X1083,0.001956536136534097
X18,0.001951399661468213
X1008,0.001940940511544768
X85,0.0019398434063808796
X40,0.0019337642136870673
X70,0.0019283415642243735
X951,0.0019164688390581415
X768,0.00190730253308507
X809,0.0019024237426294572
X791,0.001891716949775662
X1013,0.001875479212730289
X749,0.001872556227680775
X48,0.0018653140035319589
X80,0.001861992536175414
X1016,0.0018590289093190439
X1071,0.0018529390417214805
X759,0.00184202899022348
X69,0.0018402974064599608
X1064,0.0018373757190189863
X993,0.001825004134978758
X1049,0.0018111482237972841
X929,0.0018080782539408515
X769,0.0018071057442189233
X650,0.00179715281888276
X21,0.0017961732061163047
X57,0.001793118508851512
X586,0.001774456524018938
X266,0.0017722069334781085
X811,0.0017512102407207062
X585,0.0017260797402778058
X887,0.0017036624774426714
X765,0.0016974696986794607
X486,0.001695919063111994
X898,0.0016932480574501348
X974,0.0016905412620610706
X818,0.0016874286824056512
X415,0.0016838918255560095
X12,0.0016834700518267897
X670,0.001682295331065681
X845,0.0016812198872644946
X800,0.0016811138733070273
X112,0.001680659254664798
X11,0.001679827726390951
X979,0.0016716714125918875
X748,0.001666419851348215
X240,0.001651997780277664
X1030,0.0016381821730022403
X972,0.0016298880275197089
X56,0.001625581726532683
X856,0.0016240665591778494
X36,0.0016227567021422247
X739,0.0016220938397265607
X128,0.0016121614291564504
X733,0.001610213341328538
X835,0.0016091899233890686
X549,0.0016061970416625
X730,0.00160575174952022
X820,0.0015949900245763142
X22,0.0015932861669132974
X484,0.0015867407523843498
X255,0.0015800285074631052
X396,0.0015778608078240875
X784,0.0015676478530981704
X202,0.0015602646906523459
X930,0.0015540618444753321
X397,0.0015510428443107054
X903,0.001547332983804868
X874,0.0015393376280594235
X668,0.0015326829354642812
X767,0.0015246554953578311
X783,0.0015233079074998882
X1070,0.0015232750200970073
X7,0.0015176660069167545
X882,0.0015170541425246343
X111,0.001515180385390996
X870,0.0015137833184117328
X792,0.0015131504582497606
X994,0.001510169908292067
X747,0.0015095810287831118
X73,0.0015078811365139319
X79,0.0015076816547721652
X724,0.001504035765869421
X1032,0.00150338920448912
X813,0.0015032547130308608
X718,0.0015013539455534326
X846,0.0015004271040117826
X867,0.0014891203179530996
X120,0.0014889032419498165
X637,0.001485967551314557
